Jugador,ID,Test Type,Date,Time,BW [KG],Reps,Peak Power / BM [W/kg] ,Eccentric Peak Power / BM [W/kg] ,Jump Height (Imp-Mom) [cm] ,RSI-modified [m/s] ,Flight Time:Contraction Time ,Eccentric Peak Velocity [m/s] ,Eccentric Deceleration Impulse [N s] ,Eccentric Duration [ms] ,Eccentric Peak Force [N] ,Braking Phase Duration [ms] ,Force at Zero Velocity [N] ,Concentric Peak Force [N] ,Concentric Duration [ms] 
Player_07,1,CMJ,23/04/2025,08:36 p. m.,105.51,2,59.8,23.3,42.1,0.59,0.82,-1.57,167.8,448,2550,304,2525,2525,290
Player_10,47,CMJ,23/04/2025,08:33 p. m.,74.79,3,62.9,25.8,44.7,0.72,0.94,-1.29,118.8,544,2016,336,2016,2029,254
Player_09,9,CMJ,23/04/2025,08:31 p. m.,103.55,2,39.7,16.8,25.6,0.28,0.5,-1.04,138.4,576,1955,436,1867,1980,364
Player_11,19,CMJ,23/04/2025,08:30 p. m.,91.82,3,58.7,21.2,42.3,0.55,0.76,-1.13,128.1,618,2229,322,2229,2265,268
Player_01,21,CMJ,23/04/2025,08:28 p. m.,84.92,3,53.5,22.4,37,0.48,0.72,-1.17,127.6,562,2121,304,2111,2111,292
Player_06,5,CMJ,23/04/2025,08:26 p. m.,98.43,3,59.7,25.7,44.4,0.62,0.82,-1.44,156.7,538,2382,330,2368,2368,302
Player_04,34,CMJ,23/04/2025,08:24 p. m.,89.25,1,62.2,22.2,41.2,0.66,0.9,-1.43,128.1,406,1988,280,1983,2196,256
Player_05,55,CMJ,23/04/2025,08:23 p. m.,95.5,3,59.9,20.2,39.4,0.56,0.79,-1.11,137.2,462,2207,302,2206,2515,272
Player_08,3,CMJ,23/04/2025,08:21 p. m.,80.39,3,71.4,28.1,52.2,0.74,0.86,-1.69,153.2,544,1951,360,1946,2013,308
Player_02,17,CMJ,23/04/2025,08:20 p. m.,97.15,2,54.3,23,40.7,0.48,0.69,-1.34,143.3,580,2581,286,2581,2586,286
Player_03,11,CMJ,23/04/2025,08:17 p. m.,69.81,3,61.8,26.9,45.5,0.75,0.96,-1.41,109.6,466,1985,304,1960,1960,280
